COUNTY,pcp,cardio
17169,2,NA
17171,47,NA
17173,80,3
17175,12,NA
17177,45,2
17179,98,NA
17181,13,NA
17183,60,3
17185,10,1
17187,57,1
17189,33,1
17191,25,NA
17193,4,NA
17195,86,2
17197,713,26
17199,222,13
17201,434,28
17203,48,NA
18001,26,NA
18003,955,55
18005,192,9
18007,3,NA
18009,68,5
18011,260,4
18013,211,9
18015,189,16
18017,93,1
18019,258,12
18021,89,12
18023,141,16
18025,41,NA
18027,37,NA
18029,61,3
18031,50,NA
18033,78,NA
18035,192,9
18037,57,4
18039,269,12
18041,32,NA
18043,133,6
18045,37,NA
18047,87,NA
18049,14,NA
18051,49,NA
18053,81,5
18055,140,11
18057,1062,110
18059,145,5
18061,45,NA
18063,419,12
18065,57,NA
18067,140,9
18069,104,5
18071,161,9
18073,38,NA
18075,28,NA
18077,53,NA
18079,82,2
18081,257,2
18083,73,3
18085,119,NA
18087,54,NA
18089,703,80
18091,188,22
18093,50,1
18095,222,6
18097,1809,199
18099,71,4
18101,14,NA
18103,85,1
18105,250,12
18107,38,NA
18109,91,NA
18111,30,NA
18113,67,NA
18115,7,NA
18117,28,NA
18119,23,NA
18121,35,NA
18123,13,NA
18125,21,NA
18127,376,41
18129,39,NA
18131,30,NA
18133,39,NA
18135,18,NA
18137,84,NA
18139,113,5
18141,432,27
18143,15,NA
18145,148,6
18147,24,NA
18149,52,5
18151,37,1
18153,16,NA
18155,41,NA
18157,274,22
18159,103,9
18161,151,12
18163,504,36
18165,15,NA
18167,199,18
18169,71,1
18171,53,NA
18173,159,8
18175,34,NA
18177,153,12
18179,84,5
18181,91,NA
18183,81,NA
19001,16,NA
19003,12,NA
19005,43,NA
19007,6,NA
19009,25,NA
19011,47,NA
19013,267,9
19015,28,NA
19017,79,NA
19019,22,NA
19021,19,NA
19023,79,NA
19025,9,NA
19027,45,1
19029,17,NA
19031,16,NA
19033,132,12
19035,12,NA
19037,20,NA
19039,8,NA
19041,47,NA
19043,14,NA
19045,58,2
19047,14,NA
19049,246,29
19051,4,NA
19053,8,NA
19055,18,NA
19057,53,3
19059,68,NA
19061,129,6
19063,5,NA
19065,21,NA
19067,16,NA
19069,18,NA
19071,11,NA
19073,15,NA
19075,58,NA
19077,14,NA
19079,28,NA
19081,17,NA
19083,16,NA
19085,6,NA
19087,16,NA
19089,15,NA
19091,5,NA
19093,10,NA
19095,13,NA
19097,15,NA
19099,50,NA
19101,26,NA
19103,516,62
19105,10,NA
19107,35,2
19109,12,NA
19111,30,NA
19113,322,25
19115,27,NA
19117,5,NA
19119,42,NA
19121,16,NA
19123,65,2
19125,36,NA
19127,44,1
19129,92,6
19131,3,NA
19133,10,NA
19135,5,NA
19137,15,NA
19139,33,NA
19141,23,NA
19143,25,NA
19145,27,NA
19147,4,NA
19149,47,NA
19151,4,NA
19153,856,60
19155,132,7
19157,27,NA
19159,8,NA
19161,25,NA
19163,266,15
19165,36,NA
19167,76,NA
19169,93,5
19171,62,1
19173,14,NA
19175,9,NA
19177,5,NA
19179,40,2
19181,79,NA
19183,33,1
19185,5,NA
19187,71,5
19189,16,NA
19191,50,NA
19193,164,9
19195,115,12
19197,28,NA
20001,37,NA
20003,4,NA
20005,27,NA
20007,5,NA
20009,47,NA
20011,22,NA
20013,21,NA
20015,116,1
20017,25,2
20019,2,NA
20021,86,3
20023,6,NA
20025,6,NA
20027,22,NA
20029,26,NA
20031,14,NA
20033,4,NA
20035,36,1
20037,89,3
20039,4,NA
20041,27,NA
20043,17,NA
20045,121,6
20047,6,NA
20049,6,NA
20051,69,8
20053,8,NA
20055,50,1
20057,24,1
20059,20,NA
20061,84,3
20063,8,NA
20065,13,NA
20067,24,NA
20069,60,2
20071,3,NA
20073,11,NA
20075,1,NA
20077,4,NA
20079,72,NA
20081,11,NA
20083,27,1
20085,45,NA
20087,87,6
20089,9,NA
20091,844,49
20093,18,NA
20095,14,NA
20097,3,NA
20099,43,NA
20101,41,1
20103,123,6
20105,6,NA
20107,12,NA
20109,16,NA
20111,29,2
20113,96,NA
20115,73,NA
20117,16,NA
20119,5,NA
20121,36,NA
20123,8,NA
20125,49,NA
20127,10,NA
20129,7,NA
2013,1,NA
20131,23,NA
20133,42,NA
20135,2,NA
20137,4,NA
20139,11,NA
20141,3,NA
20143,146,4
20145,13,NA
20147,7,NA
20149,80,3
20151,25,NA
20153,17,NA
20155,102,5
20157,17,NA
20159,82,5
2016,7,NA
20161,111,6
20163,19,NA
20165,4,NA
20167,14,NA
20169,124,4
20171,9,NA
20173,823,50
20175,29,NA
20177,354,27
20179,9,NA
20181,5,NA
20183,6,NA
20185,45,NA
20187,13,NA
20189,2,NA
20191,22,NA
20193,17,NA
20195,8,NA
20197,144,4
20199,4,NA
2020,520,29
20201,6,NA
20203,4,NA
20205,42,NA
20207,45,NA
20209,340,56
2050,18,NA
2060,1,NA
2063,10,NA
2066,5,NA
2068,1,NA
2070,12,NA
2090,129,3
2100,6,NA
21001,102,NA
21003,28,NA
21005,55,5
21007,4,NA
21009,88,3
21011,114,2
21013,26,NA
21015,169,4
21017,148,3
21019,157,16
21021,66,3
21023,7,NA
21025,37,1
21027,36,NA
21029,336,28
21031,126,12
21033,28,1
21035,111,4
21037,93,3
21039,5,NA
21041,16,NA
21043,101,2
21045,67,NA
21047,114,1
21049,242,9
21051,146,10
21053,37,NA
21055,38,NA
21057,31,NA
21059,213,13
21061,132,12
21063,76,2
21065,28,NA
21067,1050,83
21069,102,5
21071,247,12
21073,58,5
21075,2,NA
21077,6,NA
21079,46,1
21081,20,NA
21083,277,18
21085,37,NA
21087,83,NA
21089,225,16
21091,7,NA
21093,179,9
21095,45,3
21097,40,2
21099,19,NA
2110,56,NA
21101,98,2
21103,76,5
21105,32,1
21107,114,9
21109,44,2
21111,1523,117
21113,113,3
21115,96,2
21117,382,30
21119,144,2
21121,149,6
21123,58,NA
21125,220,14
21127,49,NA
21129,50,1
21131,30,2
21133,30,2
21135,57,3
21137,80,3
21139,17,NA
21141,17,NA
21143,27,1
21145,223,14
21147,33,NA
21149,50,NA
21151,92,5
21153,27,NA
21155,81,NA
21157,218,15
21159,36,NA
21161,70,3
21163,23,NA
21165,82,2
21167,81,3
21169,102,3
21171,16,NA
21173,102,4
21175,41,NA
21177,46,1
21179,76,NA
21181,43,2
21183,30,1
21185,188,5
21187,51,5
21189,24,NA
21191,26,NA
21193,124,1
21195,220,12
21197,20,NA
21199,128,4
21201,23,NA
21203,51,1
21205,69,2
21207,40,NA
21209,90,3
21211,136,5
21213,80,4
21215,34,NA
21217,100,NA
21219,113,2
2122,84,1
21221,20,1
21223,7,NA
21225,8,NA
21227,198,16
21229,56,NA
21231,32,NA
21233,27,NA
21235,203,12
21237,13,NA
21239,145,8
2130,23,NA
2150,14,NA
2164,2,NA
2170,128,3
2180,7,NA
2188,13,NA
2195,3,NA
2198,7,NA
22001,73,3
22003,16,NA
22005,83,NA
22007,86,10
22009,51,NA
22011,19,NA
22013,31,NA
22015,291,23
22017,367,42
22019,313,19
22021,11,NA
22023,28,NA
22025,17,NA
22027,43,NA
22029,11,NA
22031,10,NA
22033,813,61
22035,4,NA
22037,58,3
22039,104,7
22041,34,NA
22043,33,NA
22045,99,3
22047,10,1
22049,62,2
22051,664,94
22053,43,2
22055,523,39
22057,87,10
22059,7,NA
22061,62,2
22063,169,7
22065,8,NA
22067,42,1
22069,33,2
22071,244,41
22073,294,15
22075,6,NA
22077,31,NA
22079,238,17
22081,72,3
22083,26,NA
22085,8,NA
22087,24,NA
22089,32,2
22091,25,NA
22093,18,NA
22095,20,NA
22097,119,7
22099,119,4
22101,33,1
22103,342,40
22105,168,7
22107,10,NA
22109,155,27
22111,20,NA
22113,116,1
22115,47,1
22117,43,5
22119,37,NA
22121,25,1
22123,15,NA
22125,10,NA
22127,43,2
2220,16,NA
2230,3,NA
2240,6,NA
2270,3,NA
2275,3,NA
2282,1,NA
2290,10,NA
24001,144,7
24003,690,37
24005,1546,114
24009,79,6
24011,28,NA
24013,181,10
24015,73,1
24017,134,15
24019,41,2
24021,310,20
24023,66,NA
24025,270,13
24027,339,20
24029,15,1
24031,816,90
24033,656,54
24035,59,1
24037,71,4
24039,18,NA
24041,81,8
24043,220,11
24045,221,19
24047,172,17
24510,1720,219
26001,4,NA
26003,11,NA
26005,193,9
26007,43,3
26009,34,NA
26011,14,NA
26013,6,NA
26015,119,2
26017,184,13
26019,228,22
26021,156,11
26023,40,1
26025,190,2
26027,59,5
26029,78,9
26031,71,9
26033,46,NA
26035,26,1
26037,120,1
26039,22,NA
26041,39,NA
26043,44,4
26045,140,NA
26047,79,9
26049,505,36
26051,9,NA
26053,8,NA
26055,279,22
26057,90,5
26059,34,1
26061,32,1
26063,34,NA
26065,474,37
26067,61,2
26069,13,NA
26071,6,NA
26073,133,7
26075,285,15
26077,507,31
26079,29,NA
26081,1441,69
26083,10,NA
26085,51,NA
26087,100,7
26089,219,22
26091,87,2
26093,189,4
26095,4,NA
26097,6,NA
26099,1062,90
26101,30,NA
26103,128,11
26105,36,1
26107,33,NA
26109,14,NA
